EN SOURCE (canonical, in use)	ORIGIN	INTERIM DE (replace with approved copy)	INTERIM TH (replace)	INTERIM JA (replace)
Linen shirt, chinos or tailored shorts, loafers	static page source	Leinenhemd, Chinos oder elegante Shorts, Loafer	เชิ้ตลินิน กางเกงชิโนหรือกางเกงขาสั้นตัดเย็บดี รองเท้าโลฟเฟอร์	リネンシャツ、チノパンまたはテーラードショーツ、ローファー
Linen, silk, soft colour. Breathable and unhurried, made for warm afternoons in the courtyard.	static page source	Leinen, Seide, sanfte Farben. Atmungsaktiv und entspannt — gemacht für warme Nachmittage im Innenhof.	ลินิน ไหม โทนสีอ่อนโยน ระบายอากาศดีและผ่อนคลาย เหมาะกับบ่ายอบอุ่นในลานบ้าน	リネン、シルク、やわらかな色。通気よく、ゆったりと。中庭の暖かな午後のために。
Live updates and gentle reminders	static page source	Live-Updates und sanfte Erinnerungen	อัปเดตสดและการแจ้งเตือนอย่างนุ่มนวล	最新情報とやさしいリマインド
Living room	static page source	Wohnzimmer	ห้องนั่งเล่น	リビングルーム
Log out	dynamic renderer	Abmelden	ออกจากระบบ	ログアウト
Long trousers with a shirt; a silk scarf if you have one	static page source	Lange Hose mit Hemd; ein Seidenschal, falls vorhanden	กางเกงขายาวกับเชิ้ต หากมีผ้าสไบไหมยิ่งดี	長ズボンにシャツ。シルクのスカーフがあればぜひ
Lost your code? Write to	static page source	Code verloren? Schreibt an	รหัสหาย? เขียนถึง	コードをお忘れですか？ご連絡先：
Lower berth	dynamic renderer	Unteres Bett	เตียงล่าง	下段
made public.	static page source	öffentlich gemacht.	ที่เอ่ยต่อหน้าทุกคน	みなの前で。
Main Event · Vientiane	dynamic renderer	Hauptereignis · Vientiane	งานหลัก · เวียงจันทน์	メインイベント・ビエンチャン
Massage	dynamic renderer	Massage	นวด	マッサージ
Meeting points and every transfer	static page source	Treffpunkte und jeder Transfer	จุดนัดพบและการรับส่งทุกเที่ยว	集合場所とすべての送迎
Members	dynamic renderer	Mitglieder	สมาชิก	メンバー
Memory always.	static page source	Erinnerung für immer.	ความทรงจำตลอดไป	永遠の記憶に。
Men	static page source	Herren	สุภาพบุรุษ	男性
Menu	static page source	Menü	เมนู	メニュー
MENU	dynamic renderer	MENÜ	เมนู	メニュー
Mini bar	static page source	Minibar	มินิบาร์	ミニバー
Monday	dynamic renderer	Montag	วันจันทร์	月曜日
Monks in saffron robes at first light, a quiet Buddhist ritual to open the wedding day with meaning.	static page source	Mönche in safranfarbenen Roben im ersten Licht — ein stilles buddhistisches Ritual, das den Hochzeitstag mit Bedeutung eröffnet.	พระสงฆ์ในจีวรสีทองยามแสงแรก พิธีทางพุทธอันเงียบงามที่เปิดวันแต่งงานอย่างมีความหมาย	夜明けの光の中、袈裟をまとった僧侶たち。結婚の一日を意味深く始める、静かな仏教の儀式。
My Contribution	dynamic renderer	Mein Beitrag	ยอดร่วมสมทบ	ご負担額
My journey	static page source	Meine Reise	การเดินทางของฉัน	マイジャーニー
My Journey	dynamic renderer	Meine Reise	การเดินทางของฉัน	マイジャーニー
My Profile	dynamic renderer	Mein Profil	โปรไฟล์ของฉัน	プロフィール
My Stay	dynamic renderer	Mein Zimmer	ที่พักของฉัน	宿泊
My Travel	dynamic renderer	Meine Anreise	การเดินทาง	交通
My Wedding	dynamic renderer	Meine Hochzeit	งานแต่งของฉัน	ウェディング
Need something different?	dynamic renderer	Etwas anderes gewünscht?	ต้องการแบบอื่น?	別の手配をご希望ですか？
Nespresso machine	static page source	Nespresso-Maschine	เครื่องเนสเพรสโซ	ネスプレッソマシン
Next step	dynamic renderer	Nächster Schritt	ขั้นตอนถัดไป	次のステップ
Next Steps	static page source	Die nächsten Schritte	ขั้นตอนถัดไป	次のステップ
No	dynamic renderer	Nein	ไม่มี	なし
No deposit is required. Once your arrangements are confirmed, you will receive an invoice with bank transfer or PayPal instructions. Payment is due within seven days. One person may settle the invoice for everyone travelling with them.	dynamic renderer	Es ist keine Anzahlung nötig. Sobald eure Arrangements bestätigt sind, erhaltet ihr eine Rechnung mit Angaben zu Überweisung oder PayPal. Zahlbar innerhalb von sieben Tagen. Eine Person kann die Rechnung für alle Mitreisenden begleichen.	ไม่ต้องวางมัดจำ เมื่อการจัดเตรียมของคุณได้รับการยืนยัน คุณจะได้รับใบแจ้งหนี้พร้อมช่องทางโอนธนาคารหรือ PayPal ชำระภายในเจ็ดวัน และหนึ่งท่านสามารถชำระแทนทุกคนที่เดินทางด้วยกันได้	デポジットは不要です。手配確定後、銀行振込またはPayPalのご案内を記載した請求書をお送りします。お支払い期限は7日以内。ご一緒の皆さまの分を、お一人でまとめてご精算いただけます。
No full white — reserved for the bride	static page source	Kein reines Weiß — der Braut vorbehalten	งดชุดขาวล้วน สงวนไว้สำหรับเจ้าสาว	全身白はご遠慮を——花嫁のための色です
No preference	dynamic renderer	Keine Präferenz	ไม่ระบุ	指定なし
No preference · please recommend	dynamic renderer	Keine Präferenz · bitte empfehlen	ไม่ระบุ · ช่วยแนะนำ	指定なし・おすすめで
No restrictions	dynamic renderer	Keine Einschränkungen	ไม่มีข้อจำกัด	制限なし
No stay selected yet	dynamic renderer	Noch kein Aufenthalt gewählt	ยังไม่ได้เลือกที่พัก	滞在は未選択
Nong Khai Railway Station	dynamic renderer	Bahnhof Nong Khai	สถานีรถไฟหนองคาย	ノーンカーイ駅
Nong Khai Station to Souphattra Heritage	dynamic renderer	Bahnhof Nong Khai zum Souphattra Heritage	จากสถานีหนองคายสู่สุพัตรา เฮอริเทจ	ノーンカーイ駅からスパッタラ・ヘリテージへ
Not joined	dynamic renderer	Nicht dabei	ไม่เข้าร่วม	不参加
Not joining	dynamic renderer	Nicht dabei	ไม่เข้าร่วม	参加しません
Not selected yet · choose under My Stay	dynamic renderer	Noch nicht gewählt · unter „Mein Zimmer“ wählen	ยังไม่ได้เลือก · เลือกที่ ที่พักของฉัน	未選択・「宿泊」からお選びください
Not this time	dynamic renderer	Diesmal nicht	ครั้งนี้ขอผ่านก่อน	今回は見送ります
Note	static page source	Notiz	หมายเหตุ	メモ
of the journey.	static page source	der Reise ist.	ของการเดินทาง	旅の一部。
of the Mekong.	static page source	des Mekong.	ของแม่น้ำโขง	リズム。
One complete glance at the weekend, from the moment you land to the last slow goodbye. A table is always set. The key moments of the wedding journey are arranged for you, with Guest Relations coordinating the transfers connected to your plans.	static page source	Das ganze Wochenende auf einen Blick — von der Landung bis zum letzten langsamen Abschied. Ein Tisch ist immer gedeckt. Die Schlüsselmomente der Hochzeitsreise sind für euch arrangiert; Guest Relations koordiniert die Transfers zu euren Plänen.	สุดสัปดาห์ทั้งหมดในหนึ่งสายตา ตั้งแต่วินาทีที่คุณลงเครื่องจนถึงคำอำลาช้า ๆ ครั้งสุดท้าย โต๊ะอาหารพร้อมเสมอ ช่วงเวลาสำคัญของการเดินทางถูกจัดเตรียมไว้ให้ โดยฝ่ายดูแลแขกประสานการรับส่งตามแผนของคุณ	着陸の瞬間から最後のゆっくりとした別れまで、週末のすべてをひと目で。食卓はいつも整っています。旅の要となる瞬間はすべて手配済み——送迎はゲストリレーションズがご予定に合わせて調整します。
One journey, and the people we love.	static page source	Eine Reise — und die Menschen, die wir lieben.	หนึ่งการเดินทาง กับผู้คนที่เรารัก	ひとつの旅と、愛する人たち。
one journey.	static page source	eine Reise.	หนึ่งการเดินทาง	ひとつの旅。
One message carries everything. Send it by email, or paste it into your LINE chat with Guest Relations (scan the code on your journey page).	static page source	Eine Nachricht trägt alles. Sendet sie per E-Mail oder fügt sie in euren LINE-Chat mit Guest Relations ein (Code auf eurer Reiseseite scannen).	ข้อความเดียวมีครบทุกอย่าง ส่งทางอีเมล หรือวางในแชท LINE กับฝ่ายดูแลแขก (สแกนโค้ดบนหน้าการเดินทางของคุณ)	ひとつのメッセージにすべてが。メールで送るか、ゲストリレーションズとのLINEチャットに貼り付けてください（コードは旅のページに）。
One photo or scan of the passport identity page is all we need. Used only where required for travel arrangements coordinated by Guest Relations.	dynamic renderer	Ein Foto oder Scan der Passdatenseite genügt. Verwendet nur, wo es für die von Guest Relations koordinierten Reisearrangements nötig ist.	เพียงรูปถ่ายหรือสแกนหน้าข้อมูลหนังสือเดินทางหนึ่งภาพก็เพียงพอ ใช้เฉพาะเมื่อจำเป็นสำหรับการจัดการเดินทางโดยฝ่ายดูแลแขกเท่านั้น	パスポートの顔写真ページの写真またはスキャン1枚だけで結構です。ゲストリレーションズが調整する旅の手配に必要な場合にのみ使用します。
One plan for all of us	dynamic renderer	Ein Plan für uns alle	แผนเดียวสำหรับเราทุกคน	全員でひとつのプラン
One quiet look over everything before it reaches Guest Relations	dynamic renderer	Ein ruhiger Blick über alles, bevor es Guest Relations erreicht	ตรวจดูทุกอย่างอย่างใจเย็นก่อนส่งถึงฝ่ายดูแลแขก	送信前に、すべてを静かにご確認ください
One unit only	static page source	Nur eine Einheit	มีเพียงยูนิตเดียว	一戸のみ
Only your private pickup times and meeting points arrive later in	static page source	Nur eure privaten Abholzeiten und Treffpunkte folgen später in	เฉพาะเวลารับส่วนตัวและจุดนัดพบจะแจ้งภายหลังใน	お迎え時刻と集合場所のみ、後ほどこちらでご案内：
Onward transfer	dynamic renderer	Weitertransfer	การเดินทางต่อ	その後の送迎
Onward, optional	static page source	Weiter, optional	เดินทางต่อ ตามสมัครใจ	その先へ（任意）
Open your Guest Area	static page source	Öffnet euren Gästebereich	เปิดพื้นที่สำหรับแขกของคุณ	ゲストエリアを開く
Open your invitation	static page source	Öffnet eure Einladung	เปิดบัตรเชิญของคุณ	招待状を開く
Open your invitation, choose your journey, and Guest Relations takes it from there.	static page source	Öffnet eure Einladung, wählt eure Reise — den Rest übernimmt Guest Relations.	เปิดบัตรเชิญ เลือกการเดินทาง แล้วฝ่ายดูแลแขกดูแลต่อจากนั้น	招待状を開き、旅を選べば、あとはゲストリレーションズにお任せ。
opens the day.	static page source	eröffnet den Tag.	เปิดวันใหม่	一日が開く。
Optional · After the wedding	dynamic renderer	Optional · Nach der Hochzeit	ทางเลือก · หลังวันงาน	任意・挙式後
Optional · Before the wedding	dynamic renderer	Optional · Vor der Hochzeit	ทางเลือก · ก่อนวันงาน	任意・挙式前
or LINE and WhatsApp via the codes in your Guest Area.	static page source	oder LINE und WhatsApp über die Codes im Gästebereich.	หรือ LINE และ WhatsApp ผ่านโค้ดในพื้นที่สำหรับแขก	またはゲストエリアのコードからLINE・WhatsAppで。
or message us on LINE or WhatsApp — scan the codes in your Guest Area. Your Guest Relations contacts are Khun Ket and Khun Paddy.	dynamic renderer	oder schreibt uns über LINE oder WhatsApp — scannt die Codes in eurem Gästebereich. Eure Ansprechpartner bei Guest Relations sind Khun Ket und Khun Paddy.	หรือส่งข้อความทาง LINE หรือ WhatsApp สแกนโค้ดในพื้นที่สำหรับแขก ผู้ดูแลของคุณคือคุณเกตุและคุณแพดดี้	またはLINE・WhatsAppでどうぞ——コードはゲストエリアに。担当はクン・ケットとクン・パディです。
or message us on LINE or WhatsApp — scan the codes in your Guest Area. Your Guest Relations team looks after you personally, from arrival to the last transfer.	static page source	oder schreibt uns über LINE oder WhatsApp — scannt die Codes im Gästebereich. Euer Guest-Relations-Team kümmert sich persönlich um euch, von der Ankunft bis zum letzten Transfer.	หรือส่งข้อความทาง LINE หรือ WhatsApp สแกนโค้ดในพื้นที่สำหรับแขก ทีมดูแลแขกดูแลคุณเป็นการส่วนตัว ตั้งแต่มาถึงจนถึงการรับส่งครั้งสุดท้าย	またはLINE・WhatsAppでご連絡を——コードはゲストエリアに。到着から最後の送迎まで、ゲストリレーションズが直接おもてなしします。
Orientation	static page source	Orientierung	ทิศทางที่ชัดเจน	見通し
Other	dynamic renderer	Anderes	อื่น ๆ	その他
Overnight Sleeper Train	static page source	Nachtzug mit Schlafwagen	รถไฟตู้นอน	夜行寝台列車
Overnight Train	dynamic renderer	Nachtzug	รถไฟตู้นอน	夜行列車
Pantry	static page source	Pantry	แพนทรี	パントリー
Passport · identity page	dynamic renderer	Reisepass · Datenseite	หนังสือเดินทาง · หน้าข้อมูล	パスポート（顔写真ページ）
Personal airport welcome and arrival coordination	dynamic renderer	Persönlicher Flughafenempfang und Ankunftskoordination	การต้อนรับที่สนามบินและประสานงานการมาถึง	空港でのお出迎えと到着の調整
Personal details	dynamic renderer	Persönliche Angaben	ข้อมูลส่วนตัว	個人情報
Personal pickup by Haruthai	dynamic renderer	Persönliche Abholung durch Haruthai	หรุทัยไปรับด้วยตัวเอง	ハルタイが直接お迎え
Personally coordinated by Guest Relations	static page source	Persönlich koordiniert von Guest Relations	ประสานงานโดยฝ่ายดูแลแขก	ゲストリレーションズが直接調整
Pescatarian	dynamic renderer	Pescetarisch	เพสคาทาเรียน	ペスカタリアン
Phone number · with country code	dynamic renderer	Telefonnummer · mit Ländervorwahl	หมายเลขโทรศัพท์ · พร้อมรหัสประเทศ	電話番号（国番号付き）
Pickup and transfers are requests — statuses move from REQUESTED to UNDER REVIEW to CONFIRMED as Guest Relations coordinates them.	dynamic renderer	Abholung und Transfers sind Anfragen — der Status wandert von ANGEFRAGT über IN PRÜFUNG zu BESTÄTIGT, während Guest Relations koordiniert.	การรับส่งเป็นคำขอ สถานะจะเปลี่ยนจาก ส่งคำขอแล้ว เป็น กำลังตรวจสอบ และ ยืนยันแล้ว ตามที่ฝ่ายดูแลแขกประสานงาน	送迎はリクエスト制です。ゲストリレーションズの調整により、ステータスはリクエスト済み→確認中→確定と進みます。
Please confirm the information is accurate first.	dynamic renderer	Bitte bestätigt zuerst, dass die Angaben korrekt sind.	โปรดยืนยันความถูกต้องของข้อมูลก่อน	まず情報が正確であることをご確認ください。
Pool and garden views	static page source	Pool- und Gartenblick	วิวสระและสวน	プール＆ガーデンビュー
Pool and garden views · one suite only	static page source	Pool- und Gartenblick · nur eine Suite	วิวสระและสวน · มีเพียงห้องเดียว	プール＆ガーデンビュー・一室のみ
Post Wedding Journey	dynamic renderer	Reise nach der Hochzeit	การเดินทางหลังงานแต่ง	ウェディング後の旅
Post-Wedding Journey	dynamic renderer	Reise nach der Hochzeit	การเดินทางหลังวันงาน	ウェディング後の旅
Post-Wedding Journey · Optional · After the wedding	dynamic renderer	Reise nach der Hochzeit · Optional · Nach der Hochzeit	การเดินทางหลังวันงาน · ทางเลือก · หลังวันงาน	ウェディング後の旅・任意・挙式後
Pre-Wedding Journey	dynamic renderer	Reise vor der Hochzeit	การเดินทางก่อนวันงาน	ウェディング前の旅
Pre-Wedding Journey · Optional · Before the wedding	dynamic renderer	Reise vor der Hochzeit · Optional · Vor der Hochzeit	การเดินทางก่อนวันงาน · ทางเลือก · ก่อนวันงาน	ウェディング前の旅・任意・挙式前
Preferred day	dynamic renderer	Wunschtag	วันที่ต้องการ	ご希望日
Presence	static page source	Gegenwart	การอยู่ตรงนั้น	その場に在ること
Private · by secure link, after registration	static page source	Privat · über sicheren Link, nach der Registrierung	ส่วนตัว · ผ่านลิงก์ปลอดภัย หลังลงทะเบียน	プライベート・登録後、安全なリンクで
Private balcony	static page source	Privater Balkon	ระเบียงส่วนตัว	プライベートバルコニー
Private bathrooms	static page source	Eigene Bäder	ห้องน้ำในตัว	専用バスルーム
Private residence	static page source	Private Residenz	เรสซิเดนซ์ส่วนตัว	プライベートレジデンス
Private Residence	static page source	Private Residenz	เรสซิเดนซ์ส่วนตัว	プライベートレジデンス
Private vehicle and driver · met at your carriage exit · luggage handled	dynamic renderer	Privatwagen mit Fahrer · Empfang direkt am Waggon · Gepäck inklusive	รถส่วนตัวพร้อมคนขับ · รอรับหน้าตู้โดยสาร · ดูแลสัมภาระ	専用車とドライバー・車両出口でお出迎え・荷物のお世話付き
Private vehicle and driver · met personally · luggage handled	dynamic renderer	Privatwagen mit Fahrer · persönlicher Empfang · Gepäck inklusive	รถส่วนตัวพร้อมคนขับ · มีคนรอรับ · ดูแลสัมภาระ	専用車とドライバー・直接お出迎え・荷物のお世話付き
Refrigerator	static page source	Kühlschrank	ตู้เย็น	冷蔵庫
Registration received	static page source	Registrierung eingegangen	ได้รับการลงทะเบียนแล้ว	登録を受け付けました
Remove	dynamic renderer	Entfernen	นำออก	削除
Remove from journey	dynamic renderer	Aus der Reise entfernen	นำออกจากการเดินทาง	旅から外す
Reopen your invitation	static page source	Einladung erneut öffnen	เปิดบัตรเชิญอีกครั้ง	招待状をもう一度開く
Request an additional guest	static page source	Einen zusätzlichen Gast anfragen	ขอเพิ่มแขก	追加ゲストをリクエスト
Request availability	static page source	Verfügbarkeit anfragen	สอบถามห้องว่าง	空室をリクエスト
Request Guest Relations support	dynamic renderer	Unterstützung von Guest Relations anfragen	ขอความช่วยเหลือจากฝ่ายดูแลแขก	ゲストリレーションズに相談
Request this room	dynamic renderer	Dieses Zimmer anfragen	ขอห้องนี้	この客室をリクエスト
Request this room in your Guest Area	static page source	Dieses Zimmer im Gästebereich anfragen	ขอห้องนี้ในพื้นที่สำหรับแขก	ゲストエリアでこの客室をリクエスト
Request this stay	dynamic renderer	Diesen Aufenthalt anfragen	ขอเข้าพักที่นี่	この滞在をリクエスト
Requested	dynamic renderer	Angefragt	ส่งคำขอแล้ว	リクエスト内容
REQUESTED	dynamic renderer	ANGEFRAGT	ส่งคำขอแล้ว	リクエスト済み
REQUESTED · Guest Relations confirms every detail personally	dynamic renderer	ANGEFRAGT · Guest Relations bestätigt jedes Detail persönlich	ส่งคำขอแล้ว · ฝ่ายดูแลแขกยืนยันทุกรายละเอียด	リクエスト済み・詳細はゲストリレーションズが確定
REQUESTED · Guest Relations confirms every detail with you personally	dynamic renderer	ANGEFRAGT · Guest Relations bestätigt jedes Detail persönlich mit euch	ส่งคำขอแล้ว · ฝ่ายดูแลแขกจะยืนยันทุกรายละเอียดกับคุณ	リクエスト済み・詳細はゲストリレーションズが直接ご確認
REQUESTED · Guest Relations confirms your seats personally	dynamic renderer	ANGEFRAGT · Guest Relations bestätigt eure Plätze persönlich	ส่งคำขอแล้ว · ฝ่ายดูแลแขกจะยืนยันที่นั่งของคุณ	リクエスト済み・お席はゲストリレーションズが確定します
Requested · Guest Relations will confirm	dynamic renderer	Angefragt · Guest Relations bestätigt	ส่งคำขอแล้ว · ฝ่ายดูแลแขกจะยืนยัน	リクエスト済み・ゲストリレーションズが確定
Reserved	static page source	Reserviert	สงวนไว้	予約済み
Reserved for Haruthai & Suthep	static page source	Reserviert für Haruthai & Suthep	สงวนไว้สำหรับหรุทัยและสุเทพ	ハルタイ＆ステープのために確保
Reserved for the wedding family	static page source	Reserviert für die Hochzeitsfamilie	สงวนไว้สำหรับครอบครัวเจ้าภาพ	ご親族のために確保
Respect	static page source	Respekt	ความเคารพ	敬意
Return to Bangkok with us	dynamic renderer	Mit uns zurück nach Bangkok	กลับกรุงเทพฯ พร้อมเรา	私たちと一緒にバンコクへ
Return to Bangkok with us, continue elsewhere, or make your own plans.	dynamic renderer	Kehrt mit uns nach Bangkok zurück, reist weiter oder plant selbst.	กลับกรุงเทพฯ พร้อมเรา เดินทางต่อที่อื่น หรือวางแผนเองก็ได้	一緒にバンコクへ戻るのも、別の地へ進むのも、ご自身の計画も自由です。
Return to your journey	static page source	Zurück zu eurer Reise	กลับไปที่การเดินทางของคุณ	旅の画面に戻る
Review	static page source	Überblick	ตรวจทาน	確認
Review & send	dynamic renderer	Prüfen & senden	ตรวจทานและส่ง	確認して送信
Room choice and availability live in your private Guest Area. Nothing to book, nothing to pay when you arrive.	static page source	Zimmerwahl und Verfügbarkeit leben in eurem privaten Gästebereich. Nichts zu buchen, nichts zu zahlen bei der Ankunft.	การเลือกห้องและห้องว่างอยู่ในพื้นที่ส่วนตัวของคุณ ไม่ต้องจอง ไม่ต้องจ่ายเมื่อมาถึง	お部屋の選択と空き状況はプライベートなゲストエリアに。ご到着時のご予約もお支払いも不要です。
Safe deposit box	static page source	Safe	ตู้นิรภัย	セーフティボックス
Saturday	static page source	Samstag	วันเสาร์	土曜日
Save	dynamic renderer	Speichern	บันทึก	保存
Saved	dynamic renderer	Gespeichert	บันทึกแล้ว	保存しました
Scroll to explore	static page source	Scrollen und entdecken	เลื่อนเพื่อสำรวจ	スクロールして探索
Seats requested	dynamic renderer	Angefragte Plätze	ที่นั่งที่ขอ	リクエスト席数
Second night	dynamic renderer	Zweite Nacht	คืนที่สอง	2泊目
Second night · hosted by	static page source	Zweite Nacht · übernommen von	คืนที่สอง · ของขวัญจาก	2泊目・ご招待——
See you	static page source	Wir sehen uns	แล้วพบกัน	ラオスで
see you in laos	static page source	see you in laos	แล้วพบกันที่ลาว	シーユー・イン・ラオス
See You In Laos · Haruthai & Suthep · 28 February 2027 · Vientiane	static page source	See You In Laos · Haruthai & Suthep · 28. Februar 2027 · Vientiane	See You In Laos · หรุทัยและสุเทพ · 28 กุมภาพันธ์ 2027 · เวียงจันทน์	See You In Laos・ハルタイ＆ステープ・2027年2月28日・ビエンチャン
See you in Laos?	dynamic renderer	Wir sehen uns in Laos?	แล้วพบกันที่ลาวนะ	ラオスで会いましょう
Select passport file	dynamic renderer	Passdatei auswählen	เลือกไฟล์หนังสือเดินทาง	パスポートのファイルを選択
Selected	dynamic renderer	Ausgewählt	เลือกแล้ว	選択済み
Send	static page source	Senden	ส่ง	送信
Send by email	static page source	Per E-Mail senden	ส่งทางอีเมล	メールで送信
Send my registration	static page source	Meine Registrierung senden	ส่งการลงทะเบียนของฉัน	登録を送信する
Separate living area	static page source	Separater Wohnbereich	พื้นที่นั่งเล่นแยก	独立したリビング
Shared living space	static page source	Gemeinsamer Wohnraum	พื้นที่นั่งเล่นร่วม	共有リビング
Shared ride with fellow guests · luggage handled · Guest Relations confirms your seat	dynamic renderer	Gemeinsame Fahrt mit anderen Gästen · Gepäck inklusive · Guest Relations bestätigt euren Platz	นั่งร่วมกับแขกท่านอื่น · ดูแลสัมภาระ · ฝ่ายดูแลแขกยืนยันที่นั่ง	他のゲストと乗合・荷物のお世話付き・お席はゲストリレーションズが確定
Shared ride with fellow guests · luggage handled · Guest Relations confirms your slot personally	dynamic renderer	Gemeinsame Fahrt mit anderen Gästen · Gepäck inklusive · Guest Relations bestätigt euren Platz persönlich	นั่งร่วมกับแขกท่านอื่น · ดูแลสัมภาระ · ฝ่ายดูแลแขกยืนยันรอบรถให้คุณ	他のゲストと乗合・荷物のお世話付き・お時間はゲストリレーションズが確定
Shared Shuttle	dynamic renderer	Gemeinschaftsshuttle	รถรับส่งรวม	シャトル（乗合）
Shoes that slip off easily; you will be barefoot at moments	static page source	Schuhe zum leichten Ausziehen; zeitweise seid ihr barfuß	รองเท้าถอดง่าย บางช่วงต้องเดินเท้าเปล่า	脱ぎやすい靴を。素足になる場面があります
Shoulders and knees covered throughout the ritual	static page source	Schultern und Knie während des Rituals bedeckt	คลุมไหล่และเข่าตลอดพิธี	儀式の間は肩と膝を覆って
Shower	static page source	Dusche	ฝักบัว	シャワー
Simply request your room — Guest Relations coordinates your arrival and every transfer personally. Everything you send is a request; nothing is booked until Guest Relations confirms it with you.	static page source	Fragt einfach euer Zimmer an — Guest Relations koordiniert eure Ankunft und jeden Transfer persönlich. Alles, was ihr sendet, ist eine Anfrage; nichts ist gebucht, bis Guest Relations es mit euch bestätigt.	เพียงส่งคำขอห้องพัก ฝ่ายดูแลแขกจะประสานการมาถึงและการรับส่งทุกครั้งด้วยตนเอง ทุกอย่างที่ส่งคือคำขอ จะยังไม่จองจนกว่าเราจะยืนยันกับคุณ	お部屋をリクエストするだけ——ご到着もすべての送迎もゲストリレーションズが直接調整します。お送りいただく内容はリクエストであり、確定のご連絡までは予約は成立しません。
Sinh (Lao skirt) with a blouse with covered shoulders and pha biang scarf	dynamic renderer	Sinh (laotischer Rock) mit schulterbedeckender Bluse und Pha-Biang-Schal	ผ้าซิ่นลาวกับเสื้อคลุมไหล่และผ้าสไบเบี่ยง	シン（ラオスのスカート）に肩を覆うブラウス、パービアンのスカーフ
Six stops,	static page source	Sechs Stationen,	หกจุดหมาย	六つの停車地、
Size	static page source	Größe	ขนาด	広さ
Sleeps up to 4	static page source	Für bis zu 4 Personen	รองรับได้ถึง 4 ท่าน	最大4名まで
Slippers	static page source	Hausschuhe	รองเท้าแตะในห้อง	スリッパ
Smart TV	static page source	Smart-TV	สมาร์ททีวี	スマートテレビ
Souphattra Heritage Vientiane	dynamic renderer	Souphattra Heritage Vientiane	สุพัตรา เฮอริเทจ เวียงจันทน์	スパッタラ・ヘリテージ・ビエンチャン
Souphattra Heritage Vientiane sits at the heart of our wedding stay: shared mornings, shared arrivals, and the rhythm of the weekend centred around one quiet place. Choose the stay that feels right for you.	dynamic renderer	Das Souphattra Heritage Vientiane ist das Herz unseres Hochzeitsaufenthalts: gemeinsame Morgen, gemeinsame Ankünfte und der Rhythmus des Wochenendes um einen stillen Ort. Wählt den Aufenthalt, der sich für euch richtig anfühlt.	สุพัตรา เฮอริเทจ เวียงจันทน์ คือหัวใจของการพักในงานแต่งของเรา เช้าที่แบ่งปันกัน การมาถึงพร้อมกัน และจังหวะของสุดสัปดาห์ที่หมุนรอบสถานที่อันเงียบสงบแห่งเดียว เลือกที่พักที่ใช่สำหรับคุณ	スパッタラ・ヘリテージ・ビエンチャンは、この結婚式の滞在の中心。共に迎える朝、共にたどり着く時間、静かなひとつの場所を巡る週末のリズム。あなたに合う滞在をお選びください。
Souphattra Heritage Vientiane sits at the heart of the wedding stay. For hotel rooms, the first night is your guest contribution and the second night is hosted, with breakfast on both mornings. Rooms are limited:	dynamic renderer	Das Souphattra Heritage Vientiane ist das Herz des Hochzeitsaufenthalts. Bei Hotelzimmern ist die erste Nacht euer Gastbeitrag, die zweite Nacht wird übernommen — mit Frühstück an beiden Morgen. Die Zimmer sind begrenzt:	สุพัตรา เฮอริเทจ เวียงจันทน์ คือหัวใจของการพักช่วงงานแต่ง สำหรับห้องพักโรงแรม คืนแรกคือส่วนร่วมของคุณ คืนที่สองเจ้าภาพดูแล พร้อมอาหารเช้าทั้งสองวัน ห้องมีจำนวนจำกัด:	スパッタラ・ヘリテージは滞在の中心です。ホテル客室は1泊目がご負担、2泊目はご招待——朝食は両日付き。客室数には限りがあります：
Spa & wellness	static page source	Spa & Wellness	สปาและเวลเนส	スパ＆ウェルネス
Spa treatment	dynamic renderer	Spa-Anwendung	สปาทรีตเมนต์	スパトリートメント
Special Express No. 25, First Class Sleeper. Bangkok slips away at 20:25; the night runs north for 10 hours and 20 minutes, and the Mekong arrives with the morning at Nong Khai, the last quiet stretch before Vientiane.	static page source	Special Express No. 25, First Class Sleeper. Bangkok gleitet um 20:25 davon; die Nacht zieht zehn Stunden und zwanzig Minuten nach Norden, und mit dem Morgen erscheint der Mekong bei Nong Khai — das letzte stille Stück vor Vientiane.	รถด่วนพิเศษขบวนที่ 25 ตู้นอนชั้นหนึ่ง กรุงเทพฯ ค่อย ๆ เลือนหายไปตอน 20:25 ค่ำคืนพาเรามุ่งขึ้นเหนือสิบชั่วโมงยี่สิบนาที และแม่น้ำโขงก็มาพร้อมรุ่งเช้าที่หนองคาย ช่วงสุดท้ายอันเงียบสงบก่อนถึงเวียงจันทน์	スペシャル・エクスプレス25号、ファーストクラス寝台。20時25分、バンコクが静かに遠ざかる。夜は10時間20分かけて北へ走り、朝とともにメコン川がノーンカーイに現れる——ビエンチャンへ続く、最後の静かな道のり。
Special request	dynamic renderer	Besonderer Wunsch	คำขอพิเศษ	特別なご要望
State Railway of Thailand	static page source	Staatsbahn von Thailand	การรถไฟแห่งประเทศไทย	タイ国鉄
Status	dynamic renderer	Status	สถานะ	ステータス
Stay	static page source	Übernachten	ที่พัก	滞在
stay.	static page source	Zimmer.	ที่พัก	滞在。
Sunday	static page source	Sonntag	วันอาทิตย์	日曜日
